formation,"quels enseignements, absents de votre formation, vous auraient ete utiles ?"
Genie Biologique et Agroalimentaires (GBA),Etude de l'innovation du secteur
Genie Biologique et Agroalimentaires (GBA),Sport 
Materiaux (MAT),Aide a la recherche d'un travaille post formation Procedes chimiques (science des reacteurs des melanges) Interaction savoir de l'ecole avec metier futur pour se donner une meilleure idee de ce qui nous attend en terme de competences a savoir 
Genie Biologique et Agroalimentaires (GBA),Gestion de crise Fonctionnement d'une entreprise
Sciences et Technologies de l'Eau (STE),Un cours expliquant l'ensemble des metiers auxquels on peut acceder a l'issue de la formation (j'ai vu qu'ils ont depuis ete ajoutes au site internet de l'ecole). Les differences qu'il peut y avoir entre le secteur prive et public etc.
Genie Biologique et Agroalimentaires (GBA),Une formation plus approfondie sur l'utilisation d'au moins un ERP surtout en ce qui concerne la tracabilite. 
Microelectronique Et Automatique (MEA),Tout ce qui concerne les alimentations embarquees les recharges de batteries (a partir cellules solaires USB..) et plus generalement les dimensionnements d'alimentation.
Microelectronique Et Automatique (MEA),Aucun en particulier.
Mecanique Structures Industrielles (MSI - apprentissage),Des enseignements sur la gestion d'affaire gestion de projet.
Materiaux (MAT),Aucun.
Microelectronique Et Automatique (MEA),Automatismes
Sciences et Technologies de l'Eau (STE),Enseignements en Conception Assistee par Ordinateur (initiation a des logiciels comme AutoCad)
Mecanique et Interactions (MI),Programmation: VBA ou autre langages pour travailler plus efficacement
Microelectronique Et Automatique (MEA),actuellement aucune idee.
Informatique et Gestion (IG),Pas assez concret 
Sciences et Technologies de l'Eau (STE),La pratique d'Autocad (seulement les bases) 
Sciences et Technologies de l'Eau (STE),Transfert de solute dans l'eau (surface et souterraine).
Genie Biologique et Agroalimentaires (GBA),Les cours de culture general finance economie. Cela serait interessant de parler du fonctionnement de la politique dans l'entreprise. 
Eau et Genie Civil (EGC - apprentissage),Electricite
Materiaux (MAT),Genie civil 
Microelectronique Et Automatique (MEA),C# automatique (hors electronique).
Sciences et Technologies de l'Eau (STE),Utilisation d'autocad 
Genie Biologique et Agroalimentaires (GBA),la negociation d'un contrat pro
Sciences et Technologies de l'Eau (STE),Toute la partie administrative.
Systemes Embarques (SE - apprentissage),Langages informatiques sexy type Php Python ...
Mecanique et Interactions (MI),Des enseignement relatif a la redaction.
Genie Biologique et Agroalimentaires (GBA),Cf question precedente Formulation conception et gestion des medicaments et DM etc..
Sciences et Technologies de l'Eau (STE),Autocad
Genie Biologique et Agroalimentaires (GBA),Des sessions de decouverte des metiers en industries: des professionnel venant expliquer leur metiers... ne pas rester sur des metiers industriels elargir aux fonctions support et/ou corporate.
Microelectronique Et Automatique (MEA),Negocier un salaire. Electronique de puissance un peu peu etre...
Informatique et Gestion (IG),ras
Informatique et Gestion (IG),un cours sur les reseaux de neurones un cours de formation a la recherche (etude de papier scientifique redaction d'abstract scientifique etat de l'art etc...)
Mecanique et Interactions (MI),Pour moi specifiquement des cours sur les ultrasons l'imagerie et l'elastographie. Mais ce sont des domaines assez specifique et je dois etre le seul de ma promotion a travailler la dedans.
Sciences et Technologies de l'Eau (STE),Electricite
Informatique et Gestion (IG),Automatisation : type Ansible chef Conteneur : kubernetes docker 
Sciences et Technologies de l'Eau (STE),/
Sciences et Technologies de l'Eau (STE),Genie civil
Genie Biologique et Agroalimentaires (GBA),Aspects techniques
Genie Biologique et Agroalimentaires (GBA),Management 
Mecanique et Interactions (MI),Aeronautique de base 
Genie Biologique et Agroalimentaires (GBA),Les differents procedes de fabrication retrouves en usines agro
Sciences et Technologies de l'Eau (STE),Genie civil
Microelectronique Et Automatique (MEA),Un enseignement sur la programmation sur Linux/Windows en ligne de commandes. Un enseignement/conference sur les certifications/normes de produits a suivre tel que CE.
Genie Biologique et Agroalimentaires (GBA),Aucun
Sciences et Technologies de l'Eau (STE),Enseignement lie a la production aquacole et a la recherche associee
Mecanique Structures Industrielles (MSI - apprentissage),de vrai cours pour savoir utiliser EXCEL !!!
Sciences et Technologies de l'Eau (STE),*Gestion de l'eau pour l'agriculture. *Traitements Low-tech de l'eau. *Un enseignement relatif aux realites des metiers d'ingenieurs et leurs differences.
Eau et Genie Civil (EGC - apprentissage),Electricite/electrotechnique. Informer les etudiants sur la prestation de service.
Genie Biologique et Agroalimentaires (GBA),Aucun
Sciences et Technologies de l'Eau (STE),(dans mon cas) : Commerce/Marketing
Sciences et Technologies de l'Eau (STE),Outils generaux pour l'ingenierie utiles certainement dans de nombreuses entreprises : programmation Python / MatLab SIG AutoCAD Solidworks  Modelisation des ecoulements en 2D et 3D  Cours sur les amenagements hydroelectriques et le domaine de l'hydroelectricite  Communication management  Avoir une approche plus pragmatique des phenomenes hydrauliques par l'observation du terrain plus de projets des calculs de 'coin de table'...
Materiaux (MAT),-
Eau et Genie Civil (EGC - apprentissage),droit du travail
Mecanique Structures Industrielles (MSI - apprentissage),/
Microelectronique Et Automatique (MEA),Travailler sous systeme d'exploitation UNIX
Genie Biologique et Agroalimentaires (GBA),Management
Mecanique et Interactions (MI),Apprentissage de autocad logiciel tres utilise dans le milieu professionnelle.  L'utilisation appareil de mesure de pointe exemple (appareil de lignage mesure de vibration etc..) tres important pour un ingenieur que est sur le terrain. Surtout bien savoir interpreter les resultats.
Sciences et Technologies de l'Eau (STE),Pas d'avis 
Microelectronique Et Automatique (MEA),Introduction a l'electronique de puissance
Genie Biologique et Agroalimentaires (GBA),Enseignements concernant l'agronomie et l'environnement. Ou a minima une ouverture sur les alternatives a l'industrie agroalimentaire maintenant que la specialite est Genie Biologique et Agroalimentaire (et non plus Science et Technologie des Industrie Agroalimentaire). Je trouve qu'il serait interessant d'ouvrir les enseignements a l'environnement au developpement durable et aux alternatives aux industries agroalimentaires.
Sciences et Technologies de l'Eau (STE),Pratique des logiciels
Informatique et Gestion (IG),Je pense que toutes les matieres pour faire un bon ingenieur en informatique etaient presents dans ma formation. Il manquait juste du temps pour pouvoir approfondir les sujets.
Materiaux (MAT),Le dessin assiste par ordinateur via Catia par exemple des cours de creation d'objet a partir d'un cahier des charges (choix du bon materiau test...)
Materiaux (MAT),Gestion de contrat peut-etre en option aurait ete interessant
Microelectronique Et Automatique (MEA),Fonctionnement global d'un OS : scheduler memoire I/O file system...
Microelectronique Et Automatique (MEA),La programmation avancee en Python. La conception de PCBs (cartes electroniques)
Informatique et Gestion (IG),OPS
Materiaux (MAT),Formulation
Genie Biologique et Agroalimentaires (GBA),Gestion des couts aucune idee du prix d'une journee de TP et la gestion des produits utilises stocks norme ... 
Sciences et Technologies de l'Eau (STE),Formation sur le logiciel Autocad/Covadis Gestion de projet (budget planning etc.) 
Microelectronique Et Automatique (MEA),Description des metiers d'entreprise 
Informatique et Gestion (IG),Le travail sur les methodes agiles qui sont des methodes utilisees dans de nombreux projets.
Genie Biologique et Agroalimentaires (GBA),Je n'ai pas fait la derniere annee en GBA car j'ai fait mon semestre au Danemark mais je crois qu'il y a eu des cours de marketing de communication Ce qui pourrait etre ajoute : cours de finance cours de management de l'innovation 
Materiaux (MAT),Du calcul et du design sur ordinateur
Sciences et Technologies de l'Eau (STE),amenagement du territoire
Mecanique Structures Industrielles (MSI - apprentissage),-cours d'hydraulique
Sciences et Technologies de l'Eau (STE),Assimilation de donnees Statistiques bayesienne
Genie Biologique et Agroalimentaires (GBA),Cours D'administratif : lire une fiche de paie un contrat de travail remplir ses impots etc.
Microelectronique Et Automatique (MEA),Management
Genie Biologique et Agroalimentaires (GBA),Des cours sur la lecture et la comprehension des fiches de paie ainsi que des cours sur la comprehension des feuilles d'imposition.
Microelectronique Et Automatique (MEA),Communication Bluetooth (stack notions de BLE par exemple tres present dans les objets connectes)   Electronique RF (notions interessantes en 5A mais manque d'aspect pratique - regles importantes dans la conception de PCB)   Enjeux et limites industrielles dans la production de PCB de masse  Traitement de donnees (machine learning)  Notion de RAII (gestion 'automatique' des ressources C++ pas necessaire dans toutes les entreprises mais indispensable pour du c++ embarque industriel)  Gestion de puissance 
Microelectronique Et Automatique (MEA),Validation logiciel uml.
Materiaux (MAT),Relation R&D - process - industrialisation cours sur l'ignifugation
Microelectronique Et Automatique (MEA),Processus de fabrication de cartes electroniques
Materiaux (MAT),Physique des semi conducteurs.
Microelectronique Et Automatique (MEA),Developpement sous Linux Systemes d'exploitation (process thread memory management etc.) Assembleur x86 ARM Cryptographie (appliquee)
Sciences et Technologies de l'Eau (STE),Suivi de chantier
Genie Biologique et Agroalimentaires (GBA),Des choses plus concretes de la vie de tous les jours (par exemple savoir lire une fiche de paie) le fonctionnement d'une entreprise... 
Materiaux (MAT),Gestion de projet (!!)
Informatique et Gestion (IG),Ayant effectue le semestre 9 a l'etranger je ne sais pas si ces enseignements ont ete aborde en 5eme annee mais ne nous a pas du tout ete presente ni  en 3eme ni en 4eme annee : - la gestion de projet   Pourtant avoir une notion du vocabulaire utilise ou des nombreuses methodes de gestion possibles serait un atout. - l'infrastructure Peut etre meme une introduction a AWS ou Azure qui sont utilises dans la majorite des entreprises serait un vrai plus.
Mecanique et Interactions (MI),Des enseignements de programmation informatique (plus generale que MatLab). Des connaissances / competences dans ce domaine sont de plus en plus indispensables quelque soit le secteur d'activite.
Genie Biologique et Agroalimentaires (GBA),Management 
Sciences et Technologies de l'Eau (STE),Quelques notions commerciales.  Le secteur d'activite de la societe dans laquelle je travaille est le BTP / Genie civil et non pas l'hydraulique / traitement de l'eau. Je ne peux donc pas reprocher a ma formation le manque d'enseignement en construction beton materiaux ou connaissance des DTU.
Informatique et Gestion (IG),Gestion d'equipe Outils de gestion TMA (Tierce Maintenance Applicative) Enseignement technique (gestion de bases de donnees d'un point de vue technique) Gestion Electronique de Documents (SharePoint)
