formation,annee obtention du diplome,vos remarques et commentaires relatifs a votre insertion professionnelle
Eau et Genie Civil (EGC - apprentissage),2020,Mon parcours n'est pas classique car j'avais dans l'optique de faire du batiment et la formation est plus ciblee vers du GC ce qui nous prepare pas a cette voie mais nous donne des billes pour y parvenir. Ensuite j'ai pousse les opportunites a venir a moi pour gagner en experience et je me suis enfin mis a mon compte en tant que maitre d'&oeliguvre  
Microelectronique Et Automatique (MEA),2022,Faire la derniere annee en contrat de professionnalisation est extremement benefique en terme d'experience personnelle mais aussi aux yeux des recruteurs qui considerent que vous avez deja 1 an d'experience professionnelle a la fin de la formation.
Microelectronique Et Automatique (MEA),2022,Le diplome d'etablissement est une bonne maniere de faire une transition entre la formation continue et CDD/CDI en passant par une periode d'alternance permettant de se specialiser dans un domaine ou bien de faire une formation complementaire. 
Eau et Genie Civil (EGC - apprentissage),2020,Mon insertion professionnelle a la suite d'un contrat d'apprentissage de 3 ans a ete facile.
Sciences et Technologies de l'Eau (STE),2022,Il est assez complique de trouver un VIE ou une offre at l'etranger en sortie d'ecole 
Eau et Genie Civil (EGC - apprentissage),2022,Tres bien passee aupres de la sade. Excellente integration dans ce domaine qui manque de femme ingenieur 
Informatique et Gestion (IG),2021,Je pense que l'ecole est un peu deconnectee de la realite par moment. Les examens de code sur papier les sempiternels cours de Java et d'OOP le manque de confiance et le regard porte sur les eleves...  A mon avis il y a tellement moyen d'ameliorer la formation: - faire venir plus d'intervenants du monde professionnel (pas seulement en derniere annee) - Autoriser internet pendants les examens (comme en algorithmie) parce qu'apres tout le plus dur n'est pas de faire un copier/coller ni meme de recracher le cours mais plutot de le comprendre - Java/OOP c'est utile de le maitriser certes mais pour combien de temps... Aujourd'hui on se dirige plus vers du fonctionnel et je pense qu'il faudrait mettre l'accent dessus - Considerer les eleves comme des adultes responsables serait aussi appreciable la relation n'en serait que plus riche  Bien sur tout n'est pas mauvais et certains professeurs tels que Fiorio et Castelltort m'ont permis de progresser drastiquement. Enfin les experiences professionnelles au cours de la formation sont aussi primordiales.
Sciences et Technologies de l'Eau (STE),2020,Mon contrat pro m'a beaucoup aide
Materiaux (MAT),2021,Plus de presentation sur des metiers autres que la R&D m'aurait permit de trouver plus rapidement ma voie
Microelectronique Et Automatique (MEA),2022,On est bien renseigne sur les possibilites que nous offre polytech. Malheureusement je pense qu'il manque des partenariats avec de grandes entreprises pour faciliter l'insertion mais aussi pour comprendre le monde de l'industrie. Car que l'on soit dans une start up ou dans une boite du CAC 40 on sera forcement confronter au monde de l'industrie.
Microelectronique Et Automatique (MEA),2022,L'administration de polytech montpellier est beaucoup trop lente. Sauf quand il faut reclamer la taxe d'apprentissage
Mecanique Structures Industrielles (MSI - apprentissage),2022,Aucunes 
Informatique et Gestion (IG),2022,Je voulais absolument travailler ou je suis. J'ai fait mon CV mon site web ma lettre personnalise pour l'entreprise j'ai enormement etudier l'entreprise et passer quatre entretiens (techniques et RH) pour avoir le poste.
Sciences et Technologies de l'Eau (STE),2021,J'ai fait ma 5eme annee en double diplome a Cranfield University au Royaume-Uni donc je ne peux pas m'exprimer sur des enseignements que je ne connais pas.
Informatique et Gestion (IG),2020,Tres bien passe chez Ippon pas de remarques negatives
Materiaux (MAT),2022,Ayant eu la reponse pour mon doctorat assez tot et donc ne m'etant pas cherche a m'inserer professionnellement je n'ai pas de remarque a faire remonter
Mecanique Structures Industrielles (MSI - apprentissage),2020,Nul aucun accompagnement pour l'insertion au contraire le directeur de la formation m'a menace de tout faire pour que je ne trouve pas de travail aucun professionalisme honte a lui. Ce n'est pas correct et donne une mauvaise image de la formation. Je ne conseille a personne de vivre ca et d'aller dans cette formation deplorable.
Sciences et Technologies de l'Eau (STE),2021,Ras
Systemes Embarques (SE - apprentissage),2022,Mon insertion professionnelle a ete simple je suis dans une equipe qui repond entierement a mes attentes (sur tous les aspects : management relations d'equipe environnement de travail ...). Les nombreux entretiens realises m'ont permis de verifier que chaque aspect de l'emploie me convienne.
Sciences et Technologies de l'Eau (STE),2020,Hors des grands groupes francais aucune entreprise plus modeste n est conviees aux forum des metiers. Il serait impactant et bienvenu de proposer aux etudiants une alternative aux grosses agences.
Sciences et Technologies de l'Eau (STE),2022,les consignes pour la recherche de stage ne sont pas assez claires
Eau et Genie Civil (EGC - apprentissage),2022,L'alternance c'est le luxe en terme d'insertion professionnelle rien ne vaut trois ans en entreprise a la condition d'etre curieux de rencontrer des personnes et d'avoir le souhait d'elargir son reseau 
Materiaux (MAT),2022,Ce qui vous differencie vous d'un autre c'est les stages et ce que vous en avez tires comme lecons conclusions et comment cela a modifie votre projet professionnel. 
Microelectronique Et Automatique (MEA),2021,Il faut amener l'apprentissage de l'anglais a un niveau bien superieur et ameliorer la comprehension generale de ce que l'on va apprendre avant de plonger dedans dans le detail. 
Mecanique et Interactions (MI),2018,Mon insertion professionnelle se fait en rapport avec mon alternance en soudage actuelle mais je pense qu'elle peut egalement etre decrite par mon stage de fin d'etudes.  La diversite de la formation est extremement appreciable et permet de se sentir polyvalent. Un certain manque de pratique (type connaissances en atelier montage usinage) m'a cependant legerement penalise malgre mon stage de 3A en atelier.
Sciences et Technologies de l'Eau (STE),2018,Veolia propose le master MISE (management et ingenierie des services a l'environnement) en alternance a bac +5. Formation tres professionnalisante permettant d'acceder rapidement a des postes de responsable au sein du Groupe.  Ne pas hesiter a candidater dans toutes les entites locales avant l'ete.
Materiaux (MAT),2016,Voir question 76
Sciences et Technologies de l'Eau (STE),2016,L'idee du groupe LinkedIn qui a ete mis en place avec la diffusion d'offres est une bonne idee.  Peut-etre que le departement STE devrait mettre a disposition une liste des entreprises specialisees dans le domaine de l'eau par type de specialisation (hydraulique ecologie etc) cela permettrait aux etudiants d'etre plus efficace dans leur recherche de stage ou de premier emploi. Car dans les fiches de stage il n'y en a pas beaucoup ce sont toujours les memes qui reviennent. 
Microelectronique Et Automatique (MEA),2018,Tout se passe bien pour l'instant.
Microelectronique Et Automatique (MEA),2018,Mon insertion professionnelle s'est faite sans encombres. Ma formation m'a permis de montrer que je disposais des capacites techniques necessaires afin d'etre rapidement operationnel ainsi que des competences organisationnelles et relationnelles. 
Sciences et Technologies de l'Eau (STE),2016,J'ai eu la chance d'avoir effectue un parcours coherent : Stage de 3A = etude du risque inondation sur logiciel de modelisation stage de 4A = schema directeur eaux pluviales dans un bureau d'etude a l'etranger stage de 5A = redaction d'un guide pour la gestion des eaux pluviales en ville? Cette coherence a nettement participe a mon embauche.
Mecanique Structures Industrielles (MSI - apprentissage),2018,Mon insertion professionnelle a ete evidente car elle s'est faite dans l'entreprise ou j'ai realise mon alternance. 
Materiaux (MAT),2018,Voir ci-dessus.
Microelectronique Et Automatique (MEA),2018,L'attente entre la fin des etudes et le fait de trouver le premier emploi est long et fait perdre espoir tres souvent. Mais je suis ravi de mon premier emploi qui correspond a mon projet professionnelle.
Mecanique et Interactions (MI),2016,Pas de difficultes pour moi car j'ai trouve un emploi dans l'entreprise pour laquelle j ai effectue mon stage de fin d etude. La taille du groupe me permet de me positionner sur des missions a l etranger ou a caractere international ce qui est tres appreciable et aussi d avoir plusieurs choix de projets sur lesquels travailler.
Microelectronique Et Automatique (MEA),2016,Meilleur accompagnement de la vie professionnelle (decouverte discussion etc)  et arreter de promouvoir des choses inutiles comme le BDE les soirees etc qui n'apporte rien a l'etudiant 
Sciences et Technologies de l'Eau (STE),2018,Bonne insertion grace au reseau des anciens STE. Assez difficile de sortir du lot lorsqu'on repond a des offres sur linkedin emploi environnement. Privilegier le reseau et carnet d'adresse. 
Sciences et Technologies de l'Eau (STE),2018,Peut etre serait il bon que les enseignants aient une vision un peu plus precise du travail en bureau d'etudes ? Parfois certaines questions ou attendus de stage de fin d'etudes sont plus ou moins lies a une demarche de recherche qu'a un travail en entreprise (meme si evidemment le regard critique sur ce que l'on produit est primordial). C'est aussi un peu contradictoire avec la demarche du departement de nous guider vers les entreprises plutot que le domaine de la recherche 
Eau et Genie Civil (EGC - apprentissage),2016,Tout est parfait pour moi
Materiaux (MAT),2018,Aucune difficulte a  obtenir des entretiens j'ai eu d'autres propositions dans le secteur des materiaux mais dans un autre secteur geographique 
Microelectronique Et Automatique (MEA),2017,Les cours de preparations aux entretiens et CV sont importants. Les projets semestriels devraient etre un moyen de creer son projet professionnel. Il est important qu'ils soient bien encadres par des professeurs et non pas seulement sur un 'partage de connaissance' entre etudiants. (Lier une partie des cours aux projets faire un partage de connaissance en 3A et 4A 4A et 5A?)
Sciences et Technologies de l'Eau (STE),2018,Je viens tout juste de commencer mon travail apres 4 mois de recherche
Genie Biologique et Agroalimentaires (GBA),2018,Prendre son temps
Sciences et Technologies de l'Eau (STE),2018,RAS
Genie Biologique et Agroalimentaires (GBA),2016,Je n'ai aucun probleme a trouver du travail en qualite dans l'industrie pharmaceutique. Mon CV est en ligne et beaucoup d'entreprises m'appelent pour me demander si je suis mobile a Paris ou Lyon. Mais je veux rester dans le sud c'est complique.
Genie Biologique et Agroalimentaires (GBA),2017,plus d'accompagnement des etudiants dans l'aide a la recherche de stage et de contrats de professionnalisation.
Informatique et Gestion (IG),2016,ras
Mecanique et Interactions (MI),2018,J'ai atterri dans une these a Montreal un peu au hasard je n'avais pas envie de rentrer dans le 'monde actif' tout de suite et la recherche me plait bien.
Sciences et Technologies de l'Eau (STE),2016,/
Genie Biologique et Agroalimentaires (GBA),2016,Peu d'accompagnement pas assez de coup de pouce ou de contacts 
Microelectronique Et Automatique (MEA),2018,Comme sur des roulettes. En MEA on a de la chance car le marche est tres vaste. La technologie evolue exponentiellement et avec nos bases en electronique et programmation on n'a pas de souci a se faire. Bon courage !
