formation,"quels enseignements, presents dans votre formation, vous paraissent inutiles ?"
Mecanique et Interactions (MI),Les maths trop compliquees dont on oublie tout 1an apres 
Eau et Genie Civil (EGC - apprentissage),METHODE NUMERIQUE ELEMENT FINI MATHEMATHIQUES  DE 5e annee
Mecanique et Interactions (MI),MSG LV2 
Sciences et Technologies de l'Eau (STE),Economies des entreprises.
Sciences et Technologies de l'Eau (STE),Le cours sur l'electricite (STE5). 
Sciences et Technologies de l'Eau (STE),Le projet melange avec les autres sections pass info
Sciences et Technologies de l'Eau (STE),Aucun. 
Systemes Embarques (SE - apprentissage),X
Sciences et Technologies de l'Eau (STE),Pas d'enseignements inutiles 
Systemes Embarques (SE - apprentissage),X
Informatique et Gestion (IG),Aucun enseignement n'est inutile mais la transmission de cet enseignement pourrait etre amelioree dans certaines matieres (maths de la decision RO)
Genie Biologique et Agroalimentaires (GBA),QVT
Materiaux (MAT),MMC
Microelectronique Et Automatique (MEA),veille technologique
Materiaux (MAT),LV2 (Espagnol)
Materiaux (MAT),Aucun.
Mecanique et Interactions (MI),La formation sur la creation d'entreprise fictive en groupes de classes melangees est sans interet et une enorme perte de temps => faudrait remplacer ca par la realisation d'un vrai projet d'ingenieur mene de A a Z ou quelque chose qui puisse etre reellement utile pour notre insertion en entreprise. 
Mecanique et Interactions (MI),Aucun.
Mecanique Structures Industrielles (MSI - apprentissage),Passinfo
Mecanique Structures Industrielles (MSI - apprentissage),Rdm
Mecanique Structures Industrielles (MSI - apprentissage),/
Genie Biologique et Agroalimentaires (GBA),Aucun 
Mecanique Structures Industrielles (MSI - apprentissage),Ceramique Plastique tout ce qui sort du domaine de specialisation 
Eau et Genie Civil (EGC - apprentissage),Trop orientes sur les canalisationset Traitement de l'eau
Genie Biologique et Agroalimentaires (GBA),Aucun ils permettent une certaine reflexion et une grande culture generale 
Genie Biologique et Agroalimentaires (GBA),Ras
Genie Biologique et Agroalimentaires (GBA),Mecanique des fluides (aussi pousse) Calculs de reacteurs 
Mecanique et Interactions (MI),Communication
Materiaux (MAT),Nsp
Mecanique Structures Industrielles (MSI - apprentissage),RAS
Sciences et Technologies de l'Eau (STE),Les cours de LV2 ne m'ont jamais servi  contrairement aux cours d'anglais.
Materiaux (MAT),Environnement economique des entreprises espagnol.
Genie Biologique et Agroalimentaires (GBA),Non concernee - j'ai developpe mon entreprise de bijouterie artisanale 
Genie Biologique et Agroalimentaires (GBA),Analyse numerique Base de donnees Organisation et fonctionnement des entreprise Management Plan d'experience
Informatique et Gestion (IG),-
Materiaux (MAT),La Mecanique des Milieux Continus
Sciences et Technologies de l'Eau (STE),L'ecologie : Aucun moyen d'etre competitif dans le monde du travail dans ce domaine la avec la formation STE
Materiaux (MAT),Beaucoup beaucoup trop de formation liee a de la recherche fondamentale qui est globalement inutile pour 90% des etudiants - ceux qui ne suivent pas une these ou ne travaillent pas dans un labo par la suite.
Sciences et Technologies de l'Eau (STE),/
Informatique et Gestion (IG),Aucun
Informatique et Gestion (IG),Some subjects seemed to be a bit outdated
Microelectronique Et Automatique (MEA),-
Informatique et Gestion (IG),Je n'ai actuellement rien utilise de la partie gestion de la formation.
Informatique et Gestion (IG),/
Informatique et Gestion (IG),Assembleur
Informatique et Gestion (IG),Je n'ai pas eu a recourir a mes competences de comptabilite dans mes missions
Genie Biologique et Agroalimentaires (GBA),Programmation informatique
Genie Biologique et Agroalimentaires (GBA),Qualite de vie au travail
Microelectronique Et Automatique (MEA),Dev durable ...
Materiaux (MAT),Tout depend de ce qu'on veut faire apres mais tres peu me sont utiles dans mon metier actuel.
Sciences et Technologies de l'Eau (STE),Creation d'entreprise 
Genie Biologique et Agroalimentaires (GBA),Rien d'inutile mais un mauvais equilibrage sur l'approfondissement ou non des matieres.
Materiaux (MAT),Le TOEIC. C'est obligatoire mais ca ne valide absolument pas un niveau d'anglais global les jeunes ingenieurs avec d'excellents resultats au TOEIC et un niveau de langue a la limite du mediocre sont tres nombreux
Mecanique et Interactions (MI),Lv2 
Informatique et Gestion (IG),Beaucoup trop de matieres pour en faire une liste concrete...
Eau et Genie Civil (EGC - apprentissage),Aucun
Microelectronique Et Automatique (MEA),Netvibs Les 3/4 des enseignements du semestre 9 
Microelectronique Et Automatique (MEA),Innovation et Entreprenariat responsable Veille technologique
Microelectronique Et Automatique (MEA),Veille technologique
Microelectronique Et Automatique (MEA),Pas vraiment d'enseignement inutile simplement un large eventail de cours proposes avec ses avantages et inconvenients: permet d'avoir une gamme de competences assez developpee mais avec parfois des disciplines un peu plus eloignees de nos centres d'interets.
Microelectronique Et Automatique (MEA),Alors sans hesiter la formation sur la veille technologique qui ressemblait plus a de la pub pour un outil: utilisation de Netvibes Je le remplacerais bien par l'utilisation de l'outil excel avec maitrise du VBA. La plus part des ingenieurs d'autres ecoles a formation equivalente en ont. Le volume horaire conviendrait parfaitement la prise en main est assez rapide mais necessite une petite formation. 
Systemes Embarques (SE - apprentissage),eco
Mecanique et Interactions (MI),Allemand 
Mecanique et Interactions (MI),Ras
Mecanique Structures Industrielles (MSI - apprentissage),Rien n'est jamais vraiment inutile certains sont moins utiles mais restent bon a prendre
Mecanique et Interactions (MI),Espagnol
Mecanique et Interactions (MI),MSG 
Mecanique et Interactions (MI),Economie
Mecanique et Interactions (MI),Trop d'enseignements destines a former des chercheurs par rapport aux enseignements destines aux autres types d'ingenieurs
Materiaux (MAT),Sciences dures car j'ai change de voie professionnelle
Mecanique Structures Industrielles (MSI - apprentissage),- transfert thermique (formation a revoir enseignant non pedagogue) - base de donnee (aucune utilite dans nos corps de metier) - Communication (faire des CV et des lettres de motivation alors que l'on est tous deja dans une entreprise n'est pas pertinent. Il faudrait plutot travailler la linguistique structure et redaction de rapport presentation de projet) 
Eau et Genie Civil (EGC - apprentissage),Le bashing des profs
Genie Biologique et Agroalimentaires (GBA),C'est difficile a dire puisque pour moi l'avantage de cette formation est justement son caractere tres generaliste : bien sur il y a beaucoup de cours qui ne me sont pas utiles aujourd'hui mais qui serviront a des anciens eleves qui se sont tournes vers une autre specialite (et qui me serviront aussi peut-etre plus tard)...
Systemes Embarques (SE - apprentissage),Erp
Informatique et Gestion (IG),Meme si tres bon enseignant la compilation n'avait pas d'interet dans une formation non purement technique. 
Sciences et Technologies de l'Eau (STE),Aucun en particulier mais la formation manque d'une vraie specialisation en 4A sur un domaine de l'eau (assainissement hydraulique ou environnement)
Informatique et Gestion (IG),Aucun
Microelectronique Et Automatique (MEA),Aucun ! 
Sciences et Technologies de l'Eau (STE),Aucun ne me parait inutile de facon generale. ils permettent d'avoir un eventail de possibilite pour choisir son metier.
Sciences et Technologies de l'Eau (STE),Le droit (sous le format droit du travail) l'economie (sous le format propose par l'ecole) la seconde langue vivante (imposee) certains aspects hydraulique paralleles (hydraulique de nappe) le projet pluri-filiere d'innovation.  Hors ces unites d'enseignements precites certains aspect des cours avec une utilite moindre pour la vie active pourraient etre amenages de maniere differentes.
Sciences et Technologies de l'Eau (STE),Pass info les trucs sur les entreprises ca serait bien de le laisser optionnel pour ceux qui ont envie de se lancer mais pas obligatoire pour ceux qui savent que ca ne les interessera pas de faire ca. 
Microelectronique Et Automatique (MEA),L'electronique de base si on avait un peu plus survole pour le voir dans les projets je pense que ca aurait ete plus interessant 
Mecanique et Interactions (MI),Gestion de base de donnees gestion d'entreprise gestion de projet
Materiaux (MAT),/
Sciences et Technologies de l'Eau (STE),Le 'package' biologie/ecologie
Mecanique et Interactions (MI),Communication 
Sciences et Technologies de l'Eau (STE),Passeport informatique gestion des entreprises
Genie Biologique et Agroalimentaires (GBA),Personnellement j'avoue que l'anglais et l'espagnol m'ont guere servi je trouvais ces cours extremement ennuyeux. Apres je pense que ce sont des cours qui sont clairement necessaires mais personnellement je ne pense pas y avoir appris grand chose. Je ne sais pas trop comment ces cours pourraient etre rendus plus interessants mais je pense que c'est a reflechir car ce sont des cours qui sont necessaires. Cependant personnellement je n'arrivais pas du tout a m'y investir et a y etre concentree. Les 3 heures d'anglais d'affilee le Mercredi c'etait vraiment vraiment vraiment tres dur et contre productif. 
Genie Biologique et Agroalimentaires (GBA),? 
Genie Biologique et Agroalimentaires (GBA),Communication orale
Genie Biologique et Agroalimentaires (GBA),Calcul de reacteur (le cours pourrait etre utile mais il etait mal articule : trop de temps alloue a des choses peu utiles) communication
Genie Biologique et Agroalimentaires (GBA),Communication 5eme annee 
Genie Biologique et Agroalimentaires (GBA),Transferts de matiere 
Informatique et Gestion (IG),L'essentiel serait d'eviter les redondances a travers les matieres pour gagner un temps precieux qui pourrait etre utilise a meilleur escient. Ensuite il faudrait diversifier les langages de programmation je pense notamment a Java qui est surexploite alors que l'on pourrait en decouvrir d'autres a la place. Enfin un certain nombre de cours a theme financier n'ont que peu d'interet au vu des postes que l'on occupera.
Informatique et Gestion (IG),Aucun si bien enseigne
Informatique et Gestion (IG),Mathematiques de la decision mathematiques approfondies... ca ne nous sert a 0 moment !
Materiaux (MAT),Tout ce qui tourne autour de la quantique.
Materiaux (MAT),Aucun
Materiaux (MAT),Norme et reglementation qu'on a eu 2x dans 2 modules differents 
Materiaux (MAT),MSG
Materiaux (MAT),La physique statistique de 4eme annee. Beaucoup d'autres enseignements ne me sont pas du tout utile maintenant mais ca n'est pas pour autant qu'ils sont inutiles.
Materiaux (MAT),Aujourd'hui ma formation d'ingnieure materiaux ne me sert pas directement dans ma mission en qualite. Mais elle me sert de support pour comprendre les methodes et les techniques utilisees. 
Materiaux (MAT),Informatique
Materiaux (MAT),RDM MMC rheologie des modeles (pas la partie de M. Habas)
Materiaux (MAT),Tout ne me sert pas aujourd'hui mais chaque enseignement a permis de me forger des connaissances dans les materiaux. Je n'enleverais rien. 
Materiaux (MAT),Mathematiques en MAT4
Materiaux (MAT),Rien ne m'a paru inutile.
Microelectronique Et Automatique (MEA),Espagnol
Microelectronique Et Automatique (MEA),Langue vivante 2
Microelectronique Et Automatique (MEA),Les enseignements 'inutiles' sont propres a chacun en effet en fonction de ce qu'on l'on souhaite faire ensuite certains cours ne sont pas utiles et au contraires d'autres sont pas assez approfondis.  Dans mon cas les cours d'electronique analogique
Microelectronique Et Automatique (MEA),Les cours de communication insertion professionnelle etc... ont ete a mon sens les cours les plus negliges.
Microelectronique Et Automatique (MEA),Les mathematiques poussees comme l'Analyse certains enseignements  de niche  comme les Neuroprotheses de M. Andreu. 
Microelectronique Et Automatique (MEA),NSP
Microelectronique Et Automatique (MEA),Enseignements des options notamment robotique (approche trop approximative qui devrait faire l'objet d'une introduction d'un semestre seulement) enseignements de 5A (excepte RFID)
Microelectronique Et Automatique (MEA),Analyse en 3a Cours entreprise en 5a (simulation de vente de sac)
Mecanique et Interactions (MI),I-sante Le projet de startup La LV2 L'eco conception dans sa forme actuelle (i.e. faire des tableau Excel) 
Mecanique et Interactions (MI),Tous les enseignements sont interessants. Cependant etant donne que la formation est generaliste on n'utilisa jamais tout ce qu'on a appris. Je pense qu'il n'y a pas d'enseignements inutiles.
Mecanique et Interactions (MI),aucuns
Mecanique et Interactions (MI),Je ne vois pas ce qui est en trop.
Mecanique et Interactions (MI),E-sante est pour moi une perte de temps. Des cours comme securite au travail ou management pourrait etre condenses pour laisser de la place a des cours plus importants.
Mecanique et Interactions (MI),Je pense que la partie SHS est a revoir. Certains cours n'etaient pas tres interessants ou n'apportaient pas grand chose a la formation ( on ne comprenait pas quelle competence etait developpee). Ils pourraient etre remplaces par des cours plus techniques notamment durant la 5ieme annee (remplacement du module I-sante par un projet de CAO par exemple ?)
Mecanique et Interactions (MI),Aucun
Mecanique et Interactions (MI),Formation adaptee pour une poursuite en R&D ou these
Sciences et Technologies de l'Eau (STE),Aucun meme si je n'en ai pas un usage direct chaque enseignement apporte des elements de comprehension de l'environnement technique des metiers de l'eau.
Sciences et Technologies de l'Eau (STE),Aucun 
Sciences et Technologies de l'Eau (STE),Le cours de LV2 (Espagnol dans mon cas) ne me servent absolument pas malheureusement. J'utilise assez rarement ma LV1 aujourd'hui mais je n'ai encore jamais employe ma LV2 depuis la fin du cours.
Sciences et Technologies de l'Eau (STE),Aucun 
Eau et Genie Civil (EGC - apprentissage),Methodes numeriques
Eau et Genie Civil (EGC - apprentissage),Aucun
Eau et Genie Civil (EGC - apprentissage),Methode numerique 
Systemes Embarques (SE - apprentissage),Gestion de l'innovation
Systemes Embarques (SE - apprentissage),Graphes et applications (notamment car aucune mise en pratique et aucune application concrete)
Sciences et Technologies de l'Eau (STE),Aucuns
Mecanique et Interactions (MI),Trop de cours en rapport avec  la sante pas assez en rapport avec la mecanique des systemes
Materiaux (MAT),Droit
Microelectronique Et Automatique (MEA),Les enseignements transversaux tels que 'Entrepreneuriat responsable et innovation durable' ou les cours de communication orale.
Systemes Embarques (SE - apprentissage),alimentation embarques le contenu ne m'a pas paru pertinent vis a vis de la formation. Une rapide etude des composants 'tout fait' (ldo dcdc) aurait ete la bien venue)
Microelectronique Et Automatique (MEA),Veille technologique
Systemes Embarques (SE - apprentissage),OSTR langage C
Microelectronique Et Automatique (MEA),Chaque enseignement a sa part d'utilite meme si le metier realise ne s'en rapproche pas
Systemes Embarques (SE - apprentissage),Graphe et applications
Microelectronique Et Automatique (MEA),Les cours de gestions de projets et de management non pas parce que ces matieres sont inutiles mais parce que leurs enseignements semblent deconnectes de la realite
Microelectronique Et Automatique (MEA),Netvibes ce cours est totalement inutile RSE 
Microelectronique Et Automatique (MEA),Pas inutiles mais les matieres qui vont dans le detail et qu'on ne retiendra jamais comme Signaux Composants etc..
Systemes Embarques (SE - apprentissage),Comptabilite (trop court pour servir a quelque chose) Normes (trop d'informations pas dispense de la bonne maniere pour etre pertinentes)
Systemes Embarques (SE - apprentissage),Dans mon cas : Analyse Numerique ? 
Microelectronique Et Automatique (MEA),Tout ce qui n'est pas technique mais c'est quand meme utile...
Systemes Embarques (SE - apprentissage),-Insertion Professionnelle La plupart des personnes en apprentissage ont deja eut une experience professionnelle et elles sont deja un peu dans le monde du travail avec l'entreprise qui les embauche en apprentissage. 
Systemes Embarques (SE - apprentissage), 
Microelectronique Et Automatique (MEA),Les enseignement de communication.
Microelectronique Et Automatique (MEA), 
Systemes Embarques (SE - apprentissage),- Graphes et application - ERP - Gestion de l'innovation - insertion professionnelle - Alimentation embarquees
Sciences et Technologies de l'Eau (STE),Hydrodynamique des reacteurs  Transfert de matieres --> ces cours sont beaucoup trop theoriques et ne servent aucunement a notre formation 
Mecanique Structures Industrielles (MSI - apprentissage),Base de donnees
Microelectronique Et Automatique (MEA),Le cours enseignement sur la veille technologique.
Sciences et Technologies de l'Eau (STE),Aucun de maniere generale mais plusieurs ne sont pas 'aux normes' vis-a-vis des methodes appliquees en bureau d'etudes
Microelectronique Et Automatique (MEA),Le cours de gestion d'entreprise que nous avons eu ainsi que le cours sur l'utilisation de Netvibes.
Microelectronique Et Automatique (MEA),1) Certains enseignents sont selon moi inutiles : Analyse Signaux: nous avons jamais fait de lien direct entre la theorie et la pratique. Seuls les eleves de prepa pouvaient comprendre ce qui etait fait en 3A et nous avions a apprendre trop de formules que nous n'utilisions jamais mais cela reste un avis tres personnel. En 3A les systemes logiques sur Quartus sont une reelle perte de temps... 
Materiaux (MAT),Les cours d'energie et d'espagnol 
Materiaux (MAT),Espagnol Physique statistique (trop fondamental) Metaux 2eme session meriterait d'etre plus approfondi
Materiaux (MAT),Physique statistique Physique 
Materiaux (MAT),Physique statistique (mis a part pour la culture)
Materiaux (MAT),Entrepreneuriat/le background trop theorique qui est bien pour faire une these mais tres peu utile en entreprise. Matlab (plus dans lair du temps favoriser python ou java)
Materiaux (MAT),Base de donnees informatique matlab
Mecanique Structures Industrielles (MSI - apprentissage),Tous les enseignements classes dans le tiers humains qui sont a mon avis extremement simples a acquerir 'sur le tas' pour un ingenieur. Exemple :  faire des plannings gerer des stocks... etc.
Materiaux (MAT),MSG
Materiaux (MAT),Cours trop theoriques : mathematiques physique du solide... Ce sont des cours pour poursuivre en these et non pour etre ingenieur
Materiaux (MAT),Personnellement je dirais 'Peinture vernis et adhesifs'. Il y en a des choses utiles mais en generale on peut apprendre autre chose plus interessante et utile.
Genie Biologique et Agroalimentaires (GBA),/
Genie Biologique et Agroalimentaires (GBA),Lv2
Genie Biologique et Agroalimentaires (GBA),Espagnol +++ 
Materiaux (MAT),-
Materiaux (MAT),Toutes les resolutions de problemes et le raisonnement ingenieur au travers des diverses matieres scientifiques
Materiaux (MAT),Aucun
Genie Biologique et Agroalimentaires (GBA),Qvt 
Materiaux (MAT),LV2 economie
Materiaux (MAT),Normes et securite au travail  Le reste depend trop du futur metier 
Materiaux (MAT),MSG RDM car il n'y a pas de realite a apprendre ces choses a moins de travailler soit dans la creation de suspension pour l'automobile... D'autres cours comme la  physiques des interfaces sont interessant mais encore une fois trop eloignee des offres du marche...  Dommage mais peut-etre a reconsiderer. 
Materiaux (MAT),Aucun.
Genie Biologique et Agroalimentaires (GBA),Communication
Mecanique Structures Industrielles (MSI - apprentissage),Chimie (au niveau enseigne)
Mecanique Structures Industrielles (MSI - apprentissage),Cours sur les verres
Mecanique Structures Industrielles (MSI - apprentissage),Aucun
Mecanique Structures Industrielles (MSI - apprentissage),- Ceramique et verres  - informatique  - strategie d'entreprise
Materiaux (MAT),projet informatique de deuxieme annee
Mecanique Structures Industrielles (MSI - apprentissage),Comptabilite  Certes c'est interessant mais sans pratique on oublie tres vite pour repartir de zero le jour ou l'on en aura besoin ... 
Genie Biologique et Agroalimentaires (GBA),X
Genie Biologique et Agroalimentaires (GBA),Tous
Genie Biologique et Agroalimentaires (GBA),Thermodynamique transfert ...
Eau et Genie Civil (EGC - apprentissage),Methode numerique (trop pousse pour surement ne 'jamais' l'utiliser au travail) Communication (temps perdu a faire un expose) 
Eau et Genie Civil (EGC - apprentissage),Microbio mais pas ma specialite ( peut etre a mettre en option) 
Eau et Genie Civil (EGC - apprentissage),methodes numeriques
Eau et Genie Civil (EGC - apprentissage),La microbiologie 
Eau et Genie Civil (EGC - apprentissage),VBA  
Systemes Embarques (SE - apprentissage),Management de l'innovation (et je me permets de souligner : 'tant l'enseignant que le cours')
Genie Biologique et Agroalimentaires (GBA),Ceux de l'option QSE en 5A.
Eau et Genie Civil (EGC - apprentissage),/
Systemes Embarques (SE - apprentissage),-Le cours avec les chemins (je ne me souviens plus du nom mais Thomas a mis le meme)
Eau et Genie Civil (EGC - apprentissage),Je n'ai pas trouve d'enseignements inutiles (avec du recul)
Microelectronique Et Automatique (MEA),NETVIBES et economie 
Mecanique Structures Industrielles (MSI - apprentissage),C'est une formation d'ingenieur pour moi il n'y a pas d'enseignements inutiles   ca permet de voir plusieurs domaines justement et de developper sa culture 
Mecanique Structures Industrielles (MSI - apprentissage),Materiaux plastiques
Eau et Genie Civil (EGC - apprentissage),L'enseignement de base de donnees. C'est interessant mais d'apres moi il faudrait le remplacer par un langage de programmation..
Microelectronique Et Automatique (MEA),rien a declarer 
Materiaux (MAT),Rien a signaler.
Sciences et Technologies de l'Eau (STE),Les cours de communications ne m'ont pas beaucoup servi
Informatique et Gestion (IG),RAS
Sciences et Technologies de l'Eau (STE),Aucun ! tout est interessant la formation d'ingenieur demande des personnes pluridisciplinaires.
Informatique et Gestion (IG),Tous ce qui demande des rapports de x pages tres litteraire. Il faut bosser l'esprit de synthese et reussir a fournir des rapports pertinents precis et aussi court que possible.
Informatique et Gestion (IG),Les cours de SI
Informatique et Gestion (IG),Tous sauf les maths/stats
Sciences et Technologies de l'Eau (STE),Le projet innovant en tronc commune avec les autres formations car pas assez de temps. 
Informatique et Gestion (IG),Tout ce qui concerne le cours sur les questionnaires.
Eau et Genie Civil (EGC - apprentissage),Com
Materiaux (MAT),Si certains auront ete inutile pour moi. Chaque enseignement aura presente son interet pour d'autres de la promo
Informatique et Gestion (IG),Mathematique de l'informatique
Microelectronique Et Automatique (MEA),Espagnol Analyse 
Materiaux (MAT),Espagnol 
Informatique et Gestion (IG),IL FAUT SUPPRIMER TOUS CE QUI CONTIENT SI dans le nom de la matiere
Informatique et Gestion (IG),Tous les cours qu'on peut retrouver en double au cours des differends semestres voir dans le meme semestre (droit par exemple)
Materiaux (MAT),Droit/Economie/Management : Des matieres qui n'interessent pas tout le monde et qui ne sont pas indispensables.  Peut-etre proposer aux etudiants de choisir au moins une option parmi ces sciences sociales
Mecanique Structures Industrielles (MSI - apprentissage),Informatique 
Informatique et Gestion (IG),Swift  Je ne me souviens plus le nom (celle ou on ecrivait des xml)
Microelectronique Et Automatique (MEA),Les cours de langue vivante 2
Microelectronique Et Automatique (MEA),Ondes
Mecanique Structures Industrielles (MSI - apprentissage),RAS
Systemes Embarques (SE - apprentissage),Aucun
Mecanique et Interactions (MI),Management
Sciences et Technologies de l'Eau (STE),Vegetaux Microbiologie 
Systemes Embarques (SE - apprentissage),Aucun
Sciences et Technologies de l'Eau (STE),Pas de remarques sur ce point
Informatique et Gestion (IG), La partie gestion :/ 
Microelectronique Et Automatique (MEA),Trop de projet Matlab
Mecanique et Interactions (MI),Ras 
Mecanique et Interactions (MI),Je ne sais pas 
Informatique et Gestion (IG),Les maths le droit l'UML
Informatique et Gestion (IG),Math de la decision
Sciences et Technologies de l'Eau (STE),Aucun Juste certaines matieres comme les vegetaux aquatiques par exemple sont en parti evalues sur de l'apprentissage 'par coeur'. Le par coeur ne m'a jamais servi dans le cadre de mon travail. Une question ? : on la pose avec le sourire et avec interet ou l'on fouille dans de la doc.
Eau et Genie Civil (EGC - apprentissage),  
Sciences et Technologies de l'Eau (STE),Hydraulique 
Sciences et Technologies de l'Eau (STE),Gestion de projet  Cours sur Microsoft access 
Informatique et Gestion (IG),Certains enseignements comme l'espagnol la gestion ou la programmation bas niveau (Langage C raspberry etc.) ne me servent pas dans mon emploi actuel. Cependant je trouve interessant de les garder car ils nous ouvrent l'esprit sur differents aspects. Et certains de ces enseignements peuvent nous etre tres utile pour l'avenir de notre carriere (ex: Gestion analyse financiere etc.)
Informatique et Gestion (IG),Pas inutiles mais pas necessaire dans mon poste: le cote gestion qui au final n'est pas present dans mon poste aujourd'hui
Materiaux (MAT),RAS
Materiaux (MAT),Aucun
Informatique et Gestion (IG),mathematiques de la decision ? (ou les inclure dans un bloc math plus general ?)
Materiaux (MAT),Aucune 
Microelectronique Et Automatique (MEA),Le module de creation d'entreprise.  Sympa mais meme avec toute la theorie du monde creer une start-up sans capital c'est presque impossible. Le partenariat propagande de Vinci ou Viveris ou ils animent des amphis pour dire comment on doit se comporter ou s'habiller en entreprise pour ensuite nous exploiter sans consideration je trouve pas ca sain.
Microelectronique Et Automatique (MEA),Automatisme/ Informatique et electronique
Microelectronique Et Automatique (MEA),En MEA certains cours semblent peu utiles comme l'analyse. J'adore les maths et personnellement j'ai grandement apprecie ce cours mais j'ai du mal a imaginer une situation professionnelle dans laquelle on doive faire appel a de tels outils mathematiques.  Les cours magistraux d'informatique semblent peu efficaces surtout s'ils sont suivis avant la realisation des TP. a mon sens il est preferable de se confronter aux problemes en pratiquant et comprendre comment cela fonctionne ensuite dans le cadre d'un cours magistral.
Mecanique et Interactions (MI),- I-sante - Health Interaction 
Genie Biologique et Agroalimentaires (GBA),RAS
Systemes Embarques (SE - apprentissage),Innovation ainsi que l'intervenant
Genie Biologique et Agroalimentaires (GBA),Microbiologie industrielle pour mon poste 
Informatique et Gestion (IG),Maths de la decision 
Sciences et Technologies de l'Eau (STE),Aucun. Tout est bon a savoir 
Materiaux (MAT),Physique statistique Energie (pour les tps c etait tres interessant (la spectroscopie d'impedance electrochimique) mais le cours etait beaucoup trop theorique et trop long)
Sciences et Technologies de l'Eau (STE),Personnellement les mathematiques approfondie (MMI) ne m'ont pas beaucoup apporte. Je trouve ce type de cours trop theoriques et pas du tout applicable en pratique. 
Materiaux (MAT),Tous les enseignements ont ete pour moi utile dans le sens ou ils permettent malgre tout une ouverture d'esprit + prise de conscience. Les enseignements non cites au dessus me serviront peut etre un jour.
Mecanique et Interactions (MI),Communication droit economie dans la mesure ou ce n'etait que des cours d'introduction qui n'ont conduit a aucune finalite concrete.
Mecanique et Interactions (MI),- Alleger le temps de travail des SHES - propriete Physico-Chimique de la Matiere  - Outils Statistiques/ plans d'experience  - Eco-conception 
Mecanique et Interactions (MI),Les non sciences dures
Mecanique et Interactions (MI),S.O
Mecanique et Interactions (MI),Je realise que la connaissance theorique notamment en simulation numerique (et dans un contexte professionnelle) a une valeur ajoutee assez moderee. Bien sur elle est importante mais quand je me souviens des enchainements de 4h de cours en amphi purement theorique je pense que c'est trop. Quand il y en face un professeur qui est capable d'animer et de dynamiser un cours (je pense par exemple a Mr Monerie) c'est supportable. Mais dans le cas contraire c'est tres dur a suivre. Et pour une valeur ajoutee qui est pour moi surestimee (ceci n'est pas valable dans le milieu de la recherche j'en suis conscient). 
Mecanique et Interactions (MI),L'aspect Interactions. En particulier il nous a ete demande de fournir une quantite de travail particulierement importante dans des disciplines ayant peu a voir avec la mecanique (je pense notamment a la robotique qui a ete omnipresente durant le premier semestre de MI5).  Dans l'ensemble certaines matieres sont enseignees dans un volume horaire suffisant pour parasiter d'autres matieres plus importantes mais pas suffisamment important pour pouvoir etre fonctionnels en tant qu'ingenieur dans ces matieres la.   Cela a cree des frustrations chez la plupart des eleves qui avaient tous ete attires par la MI pour des raisons differentes (certains pour l'aspect conception meca d'autres par l'aspect biomeca mis en avant dans le livret de la filiere mais au final quasiment inexistant durant les trois annees de MI) mais qui n'ont pas ete satisfaits par les enseignements qu'ils ont recu.  Je pense que la MI doit arreter de vouloir ratisser large. Il faut se recentrer sur l'essentiel et revoir la definition meme du mot Interactions : comme je le disais dans une autre question je pense qu'il serait bien plus interessant d'inculquer plus de notions de multiphysique aux eleves plutot que de se disperser dans de l'asservissement de bras articules.
Mecanique et Interactions (MI),Volumes finies = trop specifique Les differences finies suffisaient
Mecanique et Interactions (MI),Chimie 
Mecanique et Interactions (MI),Les enseignements orientes dans la recherche (notamment la mecanique des fluide) me sont peu utiles au quotidien. En revanche ces enseignements sont necessaires et participent a acquerir la culture generale necessaire 
Mecanique et Interactions (MI),Robotique mecatronique mecanique pour la sante : je trouve que ces enseignements sont tres presents en 5ieme annee notamment plus qu'une simple ouverture scientifique. 
Mecanique et Interactions (MI),Economie Matlab
Mecanique et Interactions (MI),Elasticite heterogene MMC
Informatique et Gestion (IG),genie logiciel
Informatique et Gestion (IG),Statistiques et d'autres dont j'ai oublie le nom mais qui etaient dispenses par Mme Bourdon 
Informatique et Gestion (IG),Controverses numeriques RFID - Identification par RadioFrequence
Sciences et Technologies de l'Eau (STE),Microbiologie
Sciences et Technologies de l'Eau (STE),On fait beaucoup de calculs qui ne servent plus a rien par la suite tout est informatise.
Informatique et Gestion (IG),Tous les cours ont ete utiles pour moi meme la partie gestion bien que je n'ai pas pratique au boulot actuel
